ticket_id,created_at,created_by,email,location,department,category,priority,description,resolution_time_hours,resolved_at,resolution_notes,satisfaction_score
HBIT-10012,2025-07-09 11:14:27.209004,Loretta Wulf-Conradi,loretta.wulf-conradi@hugoboss.com,Berlin Kurfürstendamm Store,E-Commerce,Communication,High,Outlook not syncing - missing emails from suppliers,1.7465565785572938,2025-07-09 12:59:14.812687,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10013,2025-06-17 17:13:46.549767,Eberhardt Köster,eberhardt.köster@hugoboss.com,Hamburg Neuer Wall Store,Supply Chain,VDI,High,VDI session frozen while working on Browzwear,3.7123820991294565,2025-06-17 20:56:31.125324,Increased VDI memory allocation from 8GB to 16GB,5
HBIT-10014,2025-07-31 00:40:17.162930,Frau Maike Stumpf MBA.,frau.maike.stumpf.mba.@hugoboss.com,Düsseldorf Showroom,HR,Retail Systems,Critical,POS terminal POS-001 offline - customers waiting,0.6359830774431013,2025-07-31 01:18:26.702009,"Rebooted terminal, restored network connectivity",4
HBIT-10015,2025-06-20 06:53:19.003701,Juliane Rädel-Finke,juliane.rädel-finke@hugoboss.com,Berlin Kurfürstendamm Store,E-Commerce,Performance,Medium,Extreme lag in Optitex when opening large design files,13.924963283570252,2025-06-20 20:48:48.871522,"Optimized GPU settings, cleared cache",5
HBIT-10016,2025-06-21 16:35:33.411946,Burghard Beier B.Sc.,burghard.beier.b.sc.@hugoboss.com,Berlin Kurfürstendamm Store,Marketing,ERP,Critical,Cannot access SAP Fashion Management - Error TIME_OUT,0.38505205810414905,2025-06-21 16:58:39.599355,"Restarted SAP connector service, cleared user buffer",5
HBIT-10017,2025-06-19 05:05:05.514076,Alwin Schenk,alwin.schenk@hugoboss.com,Düsseldorf Showroom,HR,Communication,Medium,Outlook not syncing - missing emails from suppliers,5.986416801115176,2025-06-19 11:04:16.614560,"Recreated Outlook profile, fixed autodiscover",5
HBIT-10018,2025-06-17 09:04:08.703843,Albin Wagenknecht,albin.wagenknecht@hugoboss.com,Hamburg Neuer Wall Store,Pattern Making,VDI,High,VDI session frozen while working on Adobe Illustrator,0.25,2025-06-17 09:14:28.869805,Increased VDI memory allocation from 8GB to 16GB,5
HBIT-10019,2025-06-13 15:35:14.778242,Danny Fischer-Wagner,danny.fischer-wagner@hugoboss.com,Stuttgart Distribution Center,Pattern Making,Performance,High,Extreme lag in Photoshop when opening large design files,2.168695511847545,2025-06-13 17:45:22.082085,"Optimized GPU settings, cleared cache",4
HBIT-10020,2025-09-09 16:45:04.170570,Mareile Mies-Ehlert,mareile.mies-ehlert@hugoboss.com,Filderstadt Logistics Hub,Supply Chain,ERP,Critical,Cannot access SAP Fashion Management - Error NO_AUTHORIZATION,0.7642320311385368,2025-09-09 17:30:55.405882,"Restarted SAP connector service, cleared user buffer",5
HBIT-10021,2025-06-18 23:44:04.106046,Burkard Geißler-Käster,burkard.geißler-käster@hugoboss.com,Düsseldorf Showroom,Finance,ERP,Critical,Cannot access SAP Fashion Management - Error RFC_ERROR_SYSTEM_FAILURE,0.6244949747574764,2025-06-19 00:21:32.287955,"Restarted SAP connector service, cleared user buffer",3
HBIT-10022,2025-06-30 05:43:08.083085,Cristina Schmiedecke-Dowerg,cristina.schmiedecke-dowerg@hugoboss.com,Filderstadt Logistics Hub,Pattern Making,VDI,High,VDI session frozen while working on Adobe Illustrator,1.3892794587458444,2025-06-30 07:06:29.489136,Increased VDI memory allocation from 8GB to 16GB,5
HBIT-10023,2025-06-13 15:53:04.693206,Silke Pechel B.A.,silke.pechel.b.a.@hugoboss.com,Düsseldorf Showroom,Pattern Making,Performance,Medium,Extreme lag in Photoshop when opening large design files,4.565049928125079,2025-06-13 20:26:58.872947,"Optimized GPU settings, cleared cache",4
HBIT-10024,2025-08-13 12:07:16.822995,Hansjürgen Preiß,hansjürgen.preiß@hugoboss.com,Düsseldorf Showroom,Product Development,Performance,High,Extreme lag in Optitex when opening large design files,1.2101913384107261,2025-08-13 13:19:53.511813,"Optimized GPU settings, cleared cache",4
HBIT-10025,2025-06-15 08:40:23.937701,Prof. Kenneth Kambs B.Eng.,prof..kenneth.kambs.b.eng.@hugoboss.com,Düsseldorf Showroom,E-Commerce,ERP,Critical,Cannot access SAP Fashion Management - Error TIME_OUT,0.25,2025-06-15 08:41:21.284919,"Restarted SAP connector service, cleared user buffer",5
HBIT-10026,2025-07-11 11:02:13.808141,Balthasar Fliegner MBA.,balthasar.fliegner.mba.@hugoboss.com,Frankfurt Office,Marketing,Retail Systems,Critical,POS terminal MOBILE-POS-01 offline - customers waiting,1.3384593619609806,2025-07-11 12:22:32.261844,"Rebooted terminal, restored network connectivity",5
HBIT-10027,2025-06-20 09:32:06.092192,Torsten Scholtz B.Sc.,torsten.scholtz.b.sc.@hugoboss.com,Filderstadt Logistics Hub,Retail Operations,Retail Systems,Critical,POS terminal POS-003 offline - customers waiting,1.2075543011055079,2025-06-20 10:44:33.287676,"Rebooted terminal, restored network connectivity",5
HBIT-10028,2025-08-30 14:20:26.314222,Joanna Junitz,joanna.junitz@hugoboss.com,Hamburg Neuer Wall Store,Marketing,Retail Systems,Critical,POS terminal POS-002 offline - customers waiting,0.3564362282564494,2025-08-30 14:41:49.484644,"Rebooted terminal, restored network connectivity",4
HBIT-10029,2025-07-10 07:59:52.288959,Christiane Bien,christiane.bien@hugoboss.com,Stuttgart Distribution Center,Creative Design,ERP,Critical,Cannot access SAP Fashion Management - Error NO_AUTHORIZATION,0.7418316062461823,2025-07-10 08:44:22.882741,"Restarted SAP connector service, cleared user buffer",3
HBIT-10030,2025-09-05 19:42:00.502641,Amir Gieß B.Sc.,amir.gieß.b.sc.@hugoboss.com,Berlin Kurfürstendamm Store,Pattern Making,Retail Systems,Critical,POS terminal MOBILE-POS-01 offline - customers waiting,0.4661764525852114,2025-09-05 20:09:58.737870,"Rebooted terminal, restored network connectivity",4
HBIT-10031,2025-06-13 14:08:49.974769,Leander Hofmann B.Sc.,leander.hofmann.b.sc.@hugoboss.com,Stuttgart Distribution Center,E-Commerce,VDI,High,VDI session frozen while working on CLO 3D,2.127123990011039,2025-06-13 16:16:27.621133,Increased VDI memory allocation from 8GB to 16GB,4
HBIT-10032,2025-08-18 14:28:43.342293,Annelore Reinhardt B.A.,annelore.reinhardt.b.a.@hugoboss.com,Stuttgart Distribution Center,E-Commerce,Performance,High,Extreme lag in Kaledo when opening large design files,0.2546024759683659,2025-08-18 14:43:59.911206,"Optimized GPU settings, cleared cache",3
HBIT-10033,2025-06-15 23:41:05.024401,Prof. Irmtrud Fritsch B.Sc.,prof..irmtrud.fritsch.b.sc.@hugoboss.com,Munich Flagship Store,Pattern Making,Communication,Medium,Outlook not syncing - missing emails from management,12.285409410496449,2025-06-16 11:58:12.498279,"Recreated Outlook profile, fixed autodiscover",5
HBIT-10034,2025-07-27 04:51:48.917629,Sibille Schenk,sibille.schenk@hugoboss.com,Stuttgart Distribution Center,Retail Operations,ERP,Critical,Cannot access SAP Fashion Management - Error NO_AUTHORIZATION,1.2197166224879743,2025-07-27 06:04:59.897470,"Restarted SAP connector service, cleared user buffer",4
HBIT-10035,2025-06-27 15:28:48.903284,Univ.Prof. Giuseppe Blümel MBA.,univ.prof..giuseppe.blümel.mba.@hugoboss.com,Munich Flagship Store,Retail Operations,Communication,High,Outlook not syncing - missing emails from suppliers,1.4298765533336544,2025-06-27 16:54:36.458876,"Recreated Outlook profile, fixed autodiscover",3
HBIT-10036,2025-07-17 14:38:59.583447,Margitta Lachmann,margitta.lachmann@hugoboss.com,Berlin Kurfürstendamm Store,Supply Chain,VDI,High,VDI session frozen while working on Browzwear,2.9664655215354188,2025-07-17 17:36:58.859325,Increased VDI memory allocation from 8GB to 16GB,4
HBIT-10037,2025-06-18 16:30:20.371459,Dr. Gisela Blümel,dr..gisela.blümel@hugoboss.com,Munich Flagship Store,Retail Operations,Communication,Medium,Outlook not syncing - missing emails from suppliers,2.6954348316072037,2025-06-18 19:12:03.936853,"Recreated Outlook profile, fixed autodiscover",5
HBIT-10038,2025-08-24 10:42:12.555604,Ing. Andrea Bachmann MBA.,ing..andrea.bachmann.mba.@hugoboss.com,Hamburg Neuer Wall Store,Visual Merchandising,Communication,High,Outlook not syncing - missing emails from retail stores,0.7424595640691083,2025-08-24 11:26:45.410035,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10039,2025-08-20 15:23:33.670126,Annelies Krein,annelies.krein@hugoboss.com,Düsseldorf Showroom,Supply Chain,ERP,Critical,Cannot access SAP Fashion Management - Error NO_AUTHORIZATION,0.6614956839566479,2025-08-20 16:03:15.054588,"Restarted SAP connector service, cleared user buffer",4
HBIT-10040,2025-08-23 22:14:57.731495,Ilja Losekann,ilja.losekann@hugoboss.com,Berlin Kurfürstendamm Store,HR,ERP,Critical,Cannot access SAP Fashion Management - Error RFC_ERROR_SYSTEM_FAILURE,0.5097054196364327,2025-08-23 22:45:32.671006,"Restarted SAP connector service, cleared user buffer",5
HBIT-10041,2025-06-20 19:34:43.475581,Ludmila Stroh,ludmila.stroh@hugoboss.com,Hamburg Neuer Wall Store,Finance,Performance,Medium,Extreme lag in InDesign when opening large design files,4.472139780735889,2025-06-21 00:03:03.178792,"Optimized GPU settings, cleared cache",4
HBIT-10042,2025-07-23 23:45:06.374842,Meik Bohlander B.A.,meik.bohlander.b.a.@hugoboss.com,Filderstadt Logistics Hub,Finance,Communication,Medium,Outlook not syncing - missing emails from retail stores,4.6918403389453065,2025-07-24 04:26:37.000062,"Recreated Outlook profile, fixed autodiscover",5
HBIT-10043,2025-06-19 20:56:00.399050,Andrew Striebitz,andrew.striebitz@hugoboss.com,Hamburg Neuer Wall Store,HR,ERP,Critical,Cannot access SAP Fashion Management - Error RFC_ERROR_SYSTEM_FAILURE,0.35670424813415325,2025-06-19 21:17:24.534343,"Restarted SAP connector service, cleared user buffer",4
HBIT-10044,2025-07-16 13:49:58.028440,Andree Ebert,andree.ebert@hugoboss.com,Filderstadt Logistics Hub,Pattern Making,Retail Systems,Critical,POS terminal POS-002 offline - customers waiting,1.1991237102159484,2025-07-16 15:01:54.873797,"Rebooted terminal, restored network connectivity",5
HBIT-10045,2025-06-23 08:41:31.512647,Rahel Graf,rahel.graf@hugoboss.com,Berlin Kurfürstendamm Store,Marketing,ERP,Critical,Cannot access SAP Fashion Management - Error NO_AUTHORIZATION,0.7778506568479251,2025-06-23 09:28:11.775012,"Restarted SAP connector service, cleared user buffer",4
HBIT-10046,2025-07-17 21:02:17.050843,Dr. Adalbert Jopich MBA.,dr..adalbert.jopich.mba.@hugoboss.com,Filderstadt Logistics Hub,Retail Operations,Communication,Medium,Outlook not syncing - missing emails from suppliers,5.92455290540912,2025-07-18 02:57:45.441302,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10047,2025-06-20 05:44:12.858935,Wolf-Dietrich Junitz-Rogner,wolf-dietrich.junitz-rogner@hugoboss.com,Munich Flagship Store,Pattern Making,Communication,Medium,Outlook not syncing - missing emails from suppliers,7.489934851527081,2025-06-20 13:13:36.624400,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10048,2025-07-14 18:38:08.689006,Dietmar Eckbauer B.Eng.,dietmar.eckbauer.b.eng.@hugoboss.com,Munich Flagship Store,Marketing,VDI,High,VDI session frozen while working on Adobe Illustrator,1.3416909524738776,2025-07-14 19:58:38.776435,Increased VDI memory allocation from 8GB to 16GB,5
HBIT-10049,2025-08-01 01:04:11.046838,Arzu Hartung,arzu.hartung@hugoboss.com,Stuttgart Distribution Center,Marketing,Performance,Medium,Extreme lag in Photoshop when opening large design files,8.344326156040838,2025-08-01 09:24:50.621000,"Optimized GPU settings, cleared cache",5
HBIT-10050,2025-06-30 13:56:35.623437,Katarzyna Warmer-Ditschlerin,katarzyna.warmer-ditschlerin@hugoboss.com,Metzingen Headquarters,E-Commerce,Communication,Medium,Outlook not syncing - missing emails from suppliers,4.763440300648025,2025-06-30 18:42:24.008519,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10051,2025-09-01 01:18:54.737636,Adolf Atzler,adolf.atzler@hugoboss.com,Metzingen Headquarters,Visual Merchandising,Retail Systems,Critical,POS terminal POS-003 offline - customers waiting,0.2582381190855718,2025-09-01 01:34:24.394865,"Rebooted terminal, restored network connectivity",5
HBIT-10052,2025-06-13 22:25:10.443749,Herr Tassilo Holsten B.Eng.,herr.tassilo.holsten.b.eng.@hugoboss.com,Filderstadt Logistics Hub,Creative Design,Communication,Medium,Outlook not syncing - missing emails from customers,4.595613637391185,2025-06-14 03:00:54.652844,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10053,2025-08-06 04:28:58.363650,Claudio Schulz-Wilms,claudio.schulz-wilms@hugoboss.com,Stuttgart Distribution Center,Product Development,ERP,Critical,Cannot access SAP Fashion Management - Error RFC_ERROR_SYSTEM_FAILURE,1.240804004741801,2025-08-06 05:43:25.258067,"Restarted SAP connector service, cleared user buffer",4
HBIT-10054,2025-07-06 22:23:59.473032,Volkhard Bolnbach,volkhard.bolnbach@hugoboss.com,Berlin Kurfürstendamm Store,Product Development,Performance,Medium,Extreme lag in Optitex when opening large design files,3.3610823126874747,2025-07-07 01:45:39.369358,"Optimized GPU settings, cleared cache",5
HBIT-10055,2025-07-04 18:39:33.681683,Klothilde Junken,klothilde.junken@hugoboss.com,Munich Flagship Store,Visual Merchandising,VDI,High,VDI session frozen while working on CLO 3D,3.4875018784275613,2025-07-04 22:08:48.688445,Increased VDI memory allocation from 8GB to 16GB,5
HBIT-10056,2025-06-13 15:18:14.389909,Kira Gierschner,kira.gierschner@hugoboss.com,Filderstadt Logistics Hub,Finance,Performance,Medium,Extreme lag in Photoshop when opening large design files,8.843357641414993,2025-06-14 00:08:50.477418,"Optimized GPU settings, cleared cache",4
HBIT-10057,2025-08-15 08:10:40.488591,Reinhardt Haase-Klemt,reinhardt.haase-klemt@hugoboss.com,Berlin Kurfürstendamm Store,HR,Retail Systems,Critical,POS terminal POS-003 offline - customers waiting,1.3949938652857052,2025-08-15 09:34:22.466506,"Rebooted terminal, restored network connectivity",5
HBIT-10058,2025-07-27 01:18:35.661345,Roselinde Kuhl,roselinde.kuhl@hugoboss.com,Filderstadt Logistics Hub,Product Development,Performance,Medium,Extreme lag in Optitex when opening large design files,9.811422144360295,2025-07-27 11:07:16.781065,"Optimized GPU settings, cleared cache",4
HBIT-10059,2025-07-01 04:46:41.437774,Danny Meyer B.Eng.,danny.meyer.b.eng.@hugoboss.com,Berlin Kurfürstendamm Store,Marketing,Retail Systems,Critical,POS terminal POS-001 offline - customers waiting,1.0675883562853534,2025-07-01 05:50:44.755857,"Rebooted terminal, restored network connectivity",5
HBIT-10060,2025-09-01 12:46:34.113851,Ismail Bolander-Jäntsch,ismail.bolander-jäntsch@hugoboss.com,Berlin Kurfürstendamm Store,Product Development,Communication,High,Outlook not syncing - missing emails from retail stores,3.0878711343547707,2025-09-01 15:51:50.449935,"Recreated Outlook profile, fixed autodiscover",5
HBIT-10061,2025-08-12 10:58:04.132127,Mohammad Klotz,mohammad.klotz@hugoboss.com,Stuttgart Distribution Center,E-Commerce,VDI,High,VDI session frozen while working on CLO 3D,3.129606629564009,2025-08-12 14:05:50.715993,Increased VDI memory allocation from 8GB to 16GB,4
HBIT-10062,2025-06-13 20:50:09.290016,Ludmilla Trapp,ludmilla.trapp@hugoboss.com,Stuttgart Distribution Center,Finance,Communication,Medium,Outlook not syncing - missing emails from customers,8.652498954051046,2025-06-14 05:29:18.286251,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10063,2025-06-13 09:03:47.551400,Frau Pascale Neuschäfer,frau.pascale.neuschäfer@hugoboss.com,Stuttgart Distribution Center,Pattern Making,Performance,Medium,Extreme lag in Kaledo when opening large design files,4.168011441906592,2025-06-13 13:13:52.392591,"Optimized GPU settings, cleared cache",5
HBIT-10064,2025-07-11 22:34:02.279317,Diether Schomber,diether.schomber@hugoboss.com,Munich Flagship Store,Visual Merchandising,Retail Systems,Critical,POS terminal POS-002 offline - customers waiting,0.47244974647586685,2025-07-11 23:02:23.098404,"Rebooted terminal, restored network connectivity",4
HBIT-10065,2025-08-27 08:00:37.160919,Dennis Wulff-Zobel,dennis.wulff-zobel@hugoboss.com,Berlin Kurfürstendamm Store,E-Commerce,Retail Systems,Critical,POS terminal POS-001 offline - customers waiting,0.34577144300327883,2025-08-27 08:21:21.938114,"Rebooted terminal, restored network connectivity",5
HBIT-10066,2025-08-31 03:43:08.398823,Annelene Kühnert-Peukert,annelene.kühnert-peukert@hugoboss.com,Metzingen Headquarters,Product Development,Retail Systems,Critical,POS terminal POS-001 offline - customers waiting,0.31200515185186595,2025-08-31 04:01:51.617370,"Rebooted terminal, restored network connectivity",5
HBIT-10067,2025-06-28 06:51:40.876727,Kerstin Wulff,kerstin.wulff@hugoboss.com,Berlin Kurfürstendamm Store,HR,ERP,Critical,Cannot access SAP Fashion Management - Error RFC_ERROR_SYSTEM_FAILURE,0.25863850150931217,2025-06-28 07:07:11.975332,"Restarted SAP connector service, cleared user buffer",4
HBIT-10068,2025-07-02 15:45:27.188984,Britta Drubin-Etzold,britta.drubin-etzold@hugoboss.com,Filderstadt Logistics Hub,Pattern Making,Performance,High,Extreme lag in InDesign when opening large design files,0.25,2025-07-02 15:55:10.764519,"Optimized GPU settings, cleared cache",4
HBIT-10069,2025-09-10 00:44:32.102936,Gerdi Jacob,gerdi.jacob@hugoboss.com,Filderstadt Logistics Hub,Retail Operations,VDI,High,VDI session frozen while working on PLM System,1.3292916086964053,2025-09-10 02:04:17.552727,Increased VDI memory allocation from 8GB to 16GB,4
HBIT-10070,2025-07-23 15:42:57.259040,Kevin Schäfer,kevin.schäfer@hugoboss.com,Hamburg Neuer Wall Store,E-Commerce,Performance,High,Extreme lag in InDesign when opening large design files,5.788856340801382,2025-07-23 21:30:17.141867,"Optimized GPU settings, cleared cache",3
HBIT-10071,2025-06-19 07:40:58.548813,Oscar Weiß,oscar.weiß@hugoboss.com,Düsseldorf Showroom,Marketing,VDI,High,VDI session frozen while working on Browzwear,2.2009977150070665,2025-06-19 09:53:02.140587,Increased VDI memory allocation from 8GB to 16GB,4
HBIT-10072,2025-06-18 02:14:25.694048,Marcel Freudenberger,marcel.freudenberger@hugoboss.com,Frankfurt Office,Retail Operations,Retail Systems,Critical,POS terminal MOBILE-POS-01 offline - customers waiting,0.25,2025-06-18 02:25:20.649745,"Rebooted terminal, restored network connectivity",5
HBIT-10073,2025-07-04 03:07:47.146617,Prof. Priska Pechel,prof..priska.pechel@hugoboss.com,Filderstadt Logistics Hub,Retail Operations,Communication,Medium,Outlook not syncing - missing emails from customers,14.454843960084606,2025-07-04 17:35:04.584873,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10074,2025-08-23 20:44:47.850163,Claudius Heidrich,claudius.heidrich@hugoboss.com,Metzingen Headquarters,Pattern Making,Communication,Medium,Outlook not syncing - missing emails from suppliers,4.843836605949792,2025-08-24 01:35:25.661944,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10075,2025-06-13 13:05:03.418458,Dragica Bonbach,dragica.bonbach@hugoboss.com,Düsseldorf Showroom,Finance,Communication,Medium,Outlook not syncing - missing emails from suppliers,15.400360833868017,2025-06-14 04:29:04.717460,"Recreated Outlook profile, fixed autodiscover",5
HBIT-10076,2025-07-08 11:50:36.528564,Ing. Marko Trapp,ing..marko.trapp@hugoboss.com,Metzingen Headquarters,Finance,Retail Systems,Critical,POS terminal POS-003 offline - customers waiting,1.6575593665649215,2025-07-08 13:30:03.742284,"Rebooted terminal, restored network connectivity",5
HBIT-10077,2025-07-18 23:25:01.732260,Caterina Dehmel B.A.,caterina.dehmel.b.a.@hugoboss.com,Düsseldorf Showroom,Retail Operations,Performance,Medium,Extreme lag in Optitex when opening large design files,7.001685008264963,2025-07-19 06:25:07.798290,"Optimized GPU settings, cleared cache",4
HBIT-10078,2025-08-29 11:01:38.035723,Annekatrin Etzler,annekatrin.etzler@hugoboss.com,Düsseldorf Showroom,Marketing,Communication,Medium,Outlook not syncing - missing emails from retail stores,13.633947303096335,2025-08-30 00:39:40.246014,"Recreated Outlook profile, fixed autodiscover",4
HBIT-10079,2025-06-21 12:58:39.375760,Swen Barth,swen.barth@hugoboss.com,Munich Flagship Store,Product Development,ERP,Critical,Cannot access SAP Fashion Management - Error RFC_ERROR_SYSTEM_FAILURE,0.27135318097965094,2025-06-21 13:14:56.247212,"Restarted SAP connector service, cleared user buffer",3
HBIT-10080,2025-06-22 01:11:16.159558,Dr. Remo Wulff B.Sc.,dr..remo.wulff.b.sc.@hugoboss.com,Düsseldorf Showroom,Pattern Making,ERP,Critical,Cannot access SAP Fashion Management - Error NO_AUTHORIZATION,0.6046136109283495,2025-06-22 01:47:32.768557,"Restarted SAP connector service, cleared user buffer",4
HBIT-10081,2025-06-16 23:22:35.690080,Hannes Fechner,hannes.fechner@hugoboss.com,Stuttgart Distribution Center,E-Commerce,ERP,Critical,Cannot access SAP Fashion Management - Error RFC_ERROR_SYSTEM_FAILURE,0.6845607842138931,2025-06-17 00:03:40.108903,"Restarted SAP connector service, cleared user buffer",4
HBIT-10082,2025-06-19 08:18:36.292648,Edith Ladeck,edith.ladeck@hugoboss.com,Berlin Kurfürstendamm Store,Retail Operations,ERP,Critical,Cannot access SAP Fashion Management - Error NO_AUTHORIZATION,0.40703782504319175,2025-06-19 08:43:01.628818,"Restarted SAP connector service, cleared user buffer",5
HBIT-10083,2025-08-26 23:35:59.916355,Nadin Mitschke,nadin.mitschke@hugoboss.com,Metzingen Headquarters,Visual Merchandising,Performance,Medium,Extreme lag in Photoshop when opening large design files,8.38733067293649,2025-08-27 07:59:14.306778,"Optimized GPU settings, cleared cache",4
HBIT-10084,2025-06-28 05:35:43.587173,Oskar Wulff,oskar.wulff@hugoboss.com,Düsseldorf Showroom,Finance,Communication,Medium,Outlook not syncing - missing emails from customers,7.213796086735016,2025-06-28 12:48:33.253085,"Recreated Outlook profile, fixed autodiscover",5
HBIT-10085,2025-06-15 11:09:19.042445,Sabrina Kroker B.Sc.,sabrina.kroker.b.sc.@hugoboss.com,Hamburg Neuer Wall Store,HR,Performance,Medium,Extreme lag in Kaledo when opening large design files,7.692687053062713,2025-06-15 18:50:52.715836,"Optimized GPU settings, cleared cache",4
HBIT-10086,2025-06-15 04:07:08.466790,Hans-Adolf Scholtz,hans-adolf.scholtz@hugoboss.com,Stuttgart Distribution Center,Supply Chain,ERP,Critical,Cannot access SAP Fashion Management - Error NO_AUTHORIZATION,0.25,2025-06-15 04:14:30.359060,"Restarted SAP connector service, cleared user buffer",3
HBIT-10087,2025-08-28 04:03:38.596240,Udo Hendriks B.A.,udo.hendriks.b.a.@hugoboss.com,Hamburg Neuer Wall Store,Finance,ERP,Critical,Cannot access SAP Fashion Management - Error TIME_OUT,1.1747754129951191,2025-08-28 05:14:07.787727,"Restarted SAP connector service, cleared user buffer",4
HBIT-10088,2025-08-03 14:24:31.149529,Dr. Gunnar Sontag B.Eng.,dr..gunnar.sontag.b.eng.@hugoboss.com,Filderstadt Logistics Hub,Finance,Retail Systems,Critical,POS terminal POS-001 offline - customers waiting,0.3422838479375177,2025-08-03 14:45:03.371382,"Rebooted terminal, restored network connectivity",5
HBIT-10089,2025-06-20 04:52:54.651687,Gesche Scholl,gesche.scholl@hugoboss.com,Munich Flagship Store,Finance,VDI,High,VDI session frozen while working on CLO 3D,0.6389706805584788,2025-06-20 05:31:14.946137,Increased VDI memory allocation from 8GB to 16GB,4
HBIT-10090,2025-06-25 22:43:39.252503,Rochus Mühle B.A.,rochus.mühle.b.a.@hugoboss.com,Filderstadt Logistics Hub,Product Development,VDI,High,VDI session frozen while working on PLM System,2.2091709395148214,2025-06-26 00:56:12.267885,Increased VDI memory allocation from 8GB to 16GB,4
HBIT-10091,2025-06-29 02:03:28.353871,Herr Armin Löffler B.Eng.,herr.armin.löffler.b.eng.@hugoboss.com,Düsseldorf Showroom,Supply Chain,VDI,High,VDI session frozen while working on PLM System,4.012514528590711,2025-06-29 06:04:13.406174,Increased VDI memory allocation from 8GB to 16GB,5
